"Tx Port","Rx Port","Traffic Item","UDP:UDP-Source-Port","UDP:UDP-Dest-Port","Source/Dest Endpoint Pair","Tx Frames","Rx Frames","Frames Delta","Loss %","Tx Frame Rate","Rx Frame Rate","Tx L1 Rate (bps)","Rx L1 Rate (bps)","Rx Bytes","Tx Rate (Bps)","Rx Rate (Bps)","Tx Rate (bps)","Rx Rate (bps)","Tx Rate (Kbps)","Rx Rate (Kbps)","Tx Rate (Mbps)","Rx Rate (Mbps)","Store-Forward Avg Latency (ns)","Store-Forward Min Latency (ns)","Store-Forward Max Latency (ns)","First TimeStamp","Last TimeStamp","Dead Flow"
"P2/3-QFX1","P2/8-QFX2","Traffic IPv4",1000,1000,"10.30.1.111-10.30.2.222",106346690,106346690,0,0.000,0.000,0.000,0.000,0.000,145348585200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90726,60840,211410,"00:00:00.691","02:57:15.359",0
"P2/3-QFX1","P2/8-QFX2","Traffic IPv4",1001,1001,"10.30.1.111-10.30.2.222",106346690,106346530,160,0.000,0.000,0.000,0.000,0.000,145343305900,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,86547,51850,207050,"00:00:00.691","02:57:15.359",0
"P2/3-QFX1","P2/8-QFX2","Traffic IPv4",1002,1002,"10.30.1.111-10.30.2.222",106346690,106346690,0,0.000,0.000,0.000,0.000,0.000,145326816600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,97578,59900,214980,"00:00:00.691","02:57:15.359",0
"P2/3-QFX1","P2/8-QFX2","Traffic IPv4",1003,1003,"10.30.1.111-10.30.2.222",106346690,106346690,0,0.000,0.000,0.000,0.000,0.000,145369242800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,93676,45280,199240,"00:00:00.691","02:57:15.359",0
"P2/3-QFX1","P2/8-QFX2","Traffic IPv4",1004,1004,"10.30.1.111-10.30.2.222",106346690,106346690,0,0.000,0.000,0.000,0.000,0.000,145351858900,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,101645,58840,217520,"00:00:00.691","02:57:15.359",0
"P2/3-QFX1","P2/8-QFX2","Traffic IPv4",1005,1005,"10.30.1.111-10.30.2.222",106346690,106346690,0,0.000,0.000,0.000,0.000,0.000,145323731300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,76380,44820,203520,"00:00:00.691","02:57:15.360",0
"P2/3-QFX1","P2/8-QFX2","Traffic IPv4",1006,1006,"10.30.1.111-10.30.2.222",106346690,106346690,0,0.000,0.000,0.000,0.000,0.000,145349740200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,92024,52780,208860,"00:00:00.691","02:57:15.360",0
"P2/3-QFX1","P2/8-QFX2","Traffic IPv4",1007,1007,"10.30.1.111-10.30.2.222",106346690,106346690,0,0.000,0.000,0.000,0.000,0.000,145341237100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,76545,44360,203590,"00:00:00.691","02:57:15.360",0
"P2/3-QFX1","P2/8-QFX2","Traffic IPv4",1008,1008,"10.30.1.111-10.30.2.222",106346690,106346690,0,0.000,0.000,0.000,0.000,0.000,145363332000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,91423,46120,206530,"00:00:00.691","02:57:15.360",0
"P2/3-QFX1","P2/8-QFX2","Traffic IPv4",1009,1009,"10.30.1.111-10.30.2.222",106346689,106346689,0,0.000,0.000,0.000,0.000,0.000,145340426500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,101271,62320,215310,"00:00:00.691","02:57:15.359",0
"P2/3-QFX1","P2/8-QFX2","Traffic IPv6",1000,1000,"301::111-302::222",106346690,106346534,156,0.000,0.000,0.000,0.000,0.000,145339901000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,89022,52360,213670,"00:00:00.691","02:57:15.359",0
"P2/3-QFX1","P2/8-QFX2","Traffic IPv6",1001,1001,"301::111-302::222",106346690,106346690,0,0.000,0.000,0.000,0.000,0.000,145353916000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,101244,62360,212420,"00:00:00.691","02:57:15.359",0
"P2/3-QFX1","P2/8-QFX2","Traffic IPv6",1002,1002,"301::111-302::222",106346690,106346530,160,0.000,0.000,0.000,0.000,0.000,145338900600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,99526,52530,217490,"00:00:00.691","02:57:15.359",0
"P2/3-QFX1","P2/8-QFX2","Traffic IPv6",1003,1003,"301::111-302::222",106346690,106346690,0,0.000,0.000,0.000,0.000,0.000,145350105500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,97265,56050,209270,"00:00:00.691","02:57:15.359",0
"P2/3-QFX1","P2/8-QFX2","Traffic IPv6",1004,1004,"301::111-302::222",106346690,106346531,159,0.000,0.000,0.000,0.000,0.000,145339176000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90796,47050,210570,"00:00:00.691","02:57:15.360",0
"P2/3-QFX1","P2/8-QFX2","Traffic IPv6",1005,1005,"301::111-302::222",106346690,106346690,0,0.000,0.000,0.000,0.000,0.000,145337445700,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,95761,62570,219690,"00:00:00.691","02:57:15.359",0
"P2/3-QFX1","P2/8-QFX2","Traffic IPv6",1006,1006,"301::111-302::222",106346690,106346690,0,0.000,0.000,0.000,0.000,0.000,145323150700,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,88041,53470,209990,"00:00:00.691","02:57:15.360",0
"P2/3-QFX1","P2/8-QFX2","Traffic IPv6",1007,1007,"301::111-302::222",106346690,106346690,0,0.000,0.000,0.000,0.000,0.000,145349229600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,97995,61970,214230,"00:00:00.691","02:57:15.360",0
"P2/3-QFX1","P2/8-QFX2","Traffic IPv6",1008,1008,"301::111-302::222",106346690,106346690,0,0.000,0.000,0.000,0.000,0.000,145342298500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,93828,62490,205690,"00:00:00.691","02:57:15.360",0
"P2/3-QFX1","P2/8-QFX2","Traffic IPv6",1009,1009,"301::111-302::222",106346689,106346532,157,0.000,0.000,0.000,0.000,0.000,145334942500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90989,47000,209470,"00:00:00.691","02:57:15.359",0
